hour,load_mean
0,4828.966546127148
1,4436.061655767786
2,4301.931714961177
3,4069.172540716068
4,4467.956891950393
5,4570.492076378459
6,5000.093613470334
7,5677.40991995269
8,6575.992184073575
9,7246.801206238808
10,7460.4591281898665
11,7545.2088765991575
12,7556.557941843527
13,7647.383917127698
14,7447.155007253732
15,7339.593545925432
16,7314.291549109633
17,7374.113311496575
18,7044.046620190174
19,6809.83269766076
20,6514.589844807855
21,6080.459737646701
22,5566.367601642355
23,5121.0838886911715
