hour,load_mean,pv_norm,pv_ratio,pv_kW,net_load
0,4828.966546127148,0.0,0.1,0.0,4828.966546127148
1,4436.061655767786,0.0,0.1,0.0,4436.061655767786
2,4301.931714961177,0.0,0.1,0.0,4301.931714961177
3,4069.172540716068,0.0,0.1,0.0,4069.172540716068
4,4467.956891950393,0.0,0.1,0.0,4467.956891950393
5,4570.492076378459,0.0,0.1,0.0,4570.492076378459
6,5000.093613470334,0.0,0.1,0.0,5000.093613470334
7,5677.40991995269,0.033285064276523564,0.1,25.454366522884797,5651.955553429805
8,6575.992184073575,0.0941421918595232,0.1,71.99414839496679,6503.998035678608
9,7246.801206238808,0.22040526037377564,0.1,168.55236434327546,7078.248841895533
10,7460.4591281898665,0.42713223677089934,0.1,326.6444197968556,7133.814708393011
11,7545.2088765991575,0.6851812798268945,0.1,523.9844299665166,7021.224446632641
12,7556.557941843527,0.9098113957113441,0.1,695.7677035182437,6860.790238325284
13,7647.383917127698,1.0,0.1,764.7383917127698,6882.645525414928
14,7447.155007253732,0.9098113957113441,0.1,695.7677035182437,6751.387303735488
15,7339.593545925432,0.6851812798268945,0.1,523.9844299665166,6815.609115958916
16,7314.291549109633,0.42713223677089934,0.1,326.6444197968556,6987.647129312777
17,7374.113311496575,0.22040526037377564,0.1,168.55236434327546,7205.5609471533
18,7044.046620190174,0.0941421918595232,0.1,71.99414839496679,6972.052471795207
19,6809.83269766076,0.033285064276523564,0.1,25.454366522884797,6784.378331137875
20,6514.589844807855,0.0,0.1,0.0,6514.589844807855
21,6080.459737646701,0.0,0.1,0.0,6080.459737646701
22,5566.367601642355,0.0,0.1,0.0,5566.367601642355
23,5121.0838886911715,0.0,0.1,0.0,5121.0838886911715
0,4828.966546127148,0.0,0.2,0.0,4828.966546127148
1,4436.061655767786,0.0,0.2,0.0,4436.061655767786
2,4301.931714961177,0.0,0.2,0.0,4301.931714961177
3,4069.172540716068,0.0,0.2,0.0,4069.172540716068
4,4467.956891950393,0.0,0.2,0.0,4467.956891950393
5,4570.492076378459,0.0,0.2,0.0,4570.492076378459
6,5000.093613470334,0.0,0.2,0.0,5000.093613470334
7,5677.40991995269,0.033285064276523564,0.2,50.908733045769594,5626.50118690692
8,6575.992184073575,0.0941421918595232,0.2,143.98829678993357,6432.003887283641
9,7246.801206238808,0.22040526037377564,0.2,337.1047286865509,6909.696477552257
10,7460.4591281898665,0.42713223677089934,0.2,653.2888395937111,6807.170288596155
11,7545.2088765991575,0.6851812798268945,0.2,1047.9688599330332,6497.240016666125
12,7556.557941843527,0.9098113957113441,0.2,1391.5354070364874,6165.02253480704
13,7647.383917127698,1.0,0.2,1529.4767834255397,6117.907133702158
14,7447.155007253732,0.9098113957113441,0.2,1391.5354070364874,6055.619600217245
15,7339.593545925432,0.6851812798268945,0.2,1047.9688599330332,6291.6246859923995
16,7314.291549109633,0.42713223677089934,0.2,653.2888395937111,6661.002709515922
17,7374.113311496575,0.22040526037377564,0.2,337.1047286865509,7037.008582810025
18,7044.046620190174,0.0941421918595232,0.2,143.98829678993357,6900.05832340024
19,6809.83269766076,0.033285064276523564,0.2,50.908733045769594,6758.92396461499
20,6514.589844807855,0.0,0.2,0.0,6514.589844807855
21,6080.459737646701,0.0,0.2,0.0,6080.459737646701
22,5566.367601642355,0.0,0.2,0.0,5566.367601642355
23,5121.0838886911715,0.0,0.2,0.0,5121.0838886911715
0,4828.966546127148,0.0,0.3,0.0,4828.966546127148
1,4436.061655767786,0.0,0.3,0.0,4436.061655767786
2,4301.931714961177,0.0,0.3,0.0,4301.931714961177
3,4069.172540716068,0.0,0.3,0.0,4069.172540716068
4,4467.956891950393,0.0,0.3,0.0,4467.956891950393
